,CIF filename,fitness
0,abavij_P1,4.751204490661621
1,abavop_P1,
2,abayio_P1_charged,
3,abazaf_P1,4.787734508514404
4,abazaf01_P1,4.791330337524414
5,abeful_P1_H,
6,abexem_P1,
7,abexen_P1_charged,
8,abexiq_P1,4.772223472595215
9,abexow_P1,4.76935338973999
10,abexuc_P1,4.759679794311523
11,abeyaj_P1,4.745022296905518
12,abeyen_P1,4.756161689758301
13,abeyir_P1,4.741004943847656
14,abiyiv_P1,
15,abuhaj_P1,4.806925296783447
16,acajof_P1,4.7941718101501465
17,acalib_P1_H,4.822067737579346
18,acenif_P1,
19,aciboe_P1_H,4.817290782928467
20,acicoh_P1,4.780415058135986
21,acmpcd_P1_H,
22,acobec_P1_H,4.809052467346191
23,acodaa_P1,
24,acoded_P1,4.75700044631958
25,acodon_P1_charged,4.743651390075684
26,acogef_P1,
27,acolip_P1,4.758261203765869
28,acolub_P1,
29,acufek_P1,4.825114727020264
30,acuheo_P1_H,4.800025463104248
31,acurey_P1,4.799005508422852
32,acuruo_P1,4.77999210357666
33,acutoi_P1_H,4.8143310546875
34,acuxuu_P1,
35,acuyab_P1,4.772953987121582
36,adabak_P1,
37,adabak01_P1,
38,adabeo_P1,
39,adabis_P1,
40,adabue_P1,
41,adaqaa_P1,
42,adasij_P1,
43,adasop_P1,
44,adatac_P1,
45,adatik_P1,
46,adatuw_P1_charged,
47,adaxek_P1,
48,adaxio_P1,
49,adegey_P1_charged,4.7909159660339355
50,adilor_P1,4.869832515716553
51,adincu_P1_charged,
52,adiqah_P1,
53,adiqel_P1,
54,adobax_P1,
55,adocay_P1,
56,adocec_P1,
57,adocig_P1,
58,adodii_P1,
59,adodoo_P1,
60,adoduu_P1,
61,adonit_P1,
62,adujer_P1,
63,adulix_P1,4.867229461669922
64,aduroi_P1,4.767969608306885
65,aduwih_P1,
66,aduwon_P1_charged,
67,afadan_P1_charged,
68,afeciy_P1,4.771148681640625
69,afeciy01_P1,4.765509605407715
70,afehuo_P1,
71,afenee_P1_charged,
72,afenux_P1,4.809572219848633
73,afipah_P1_H,4.784303188323975
74,afitep_P1,
75,afitit_P1,4.802388668060303
76,afoqui_P1,
77,aforod_P1,4.793998718261719
78,afotof_P1,4.7726874351501465
79,afotul_P1,4.765039920806885
80,afovat_P1,4.777502059936523
81,afovex_P1,4.772884845733643
82,afovib_P1,4.775043487548828
83,afovoh_P1,
84,afowok_P1,4.769040584564209
85,afoyeb_P1_H,
86,afukap_P1,
87,afuket_P1,4.841153621673584
88,afuvuv_P1_charged,
89,agabiu_P1_charged_H,
90,agaruw_P1,4.802104949951172
91,agedic_P1,
92,agegur_P1,4.826049327850342
93,ageqek_P1,4.814796447753906
94,agesip_P1_H,
95,agimio_P1,
96,agimou_P1,
97,agofej_P1_charged,4.8323822021484375
98,agovid_P1_charged,4.789228916168213
99,agowaw_P1_charged,4.773136138916016
100,agowea_P1_charged,4.76267147064209
101,agozed_P1,4.769395351409912
102,aguwuv_P1,4.808913230895996
103,ahaduj_P1,4.753398418426514
104,ahafar_P1,4.755824565887451
105,ahafev_P1,4.764575958251953
106,ahebas_P1_H,4.834217071533203
107,aheqah_P1_H,4.7586164474487305
108,ahetak_P1_H,
109,ahinip_P1,4.805436134338379
110,ahisui_P1,4.80700159072876
111,ahitap_P1,4.747384548187256
112,ahitet_P1,4.763312816619873
113,ahobik_P1,4.784064769744873
114,ahokir01_P1,
115,ahujev_P1,4.828360080718994
116,ahutih_P1_H,4.814763069152832
117,ajabix_P1,4.7942728996276855
118,ajabix01_P1,4.834162712097168
119,ajabod_P1,4.805333137512207
120,ajagoi_P1,4.876718997955322
121,ajakon_P1,
122,ajayit_P1,4.751697540283203
123,ajekil_P1,4.765289306640625
124,ajidop_P1,4.788673400878906
125,ajifad_P1,4.79528284072876
126,ajifux_P1,4.794498443603516
127,ajigil_P1_H,4.806986331939697
128,ajimen_P1,4.840249538421631
129,ajocou_P1_charged,
130,ajoveb_P1,4.87103271484375
131,ajunok_P1,4.791980743408203
132,ajupay_P1,4.80950927734375
133,akayiv_P1,4.777630805969238
134,akedif_P1,
135,akukuo_P1,
136,alahus_P1,
137,alamuw_P1,4.82574462890625
138,alanad_P1,4.820800304412842
139,alejae_P1,
140,alejei_P1,
141,alejim_P1,
142,alicee_P1_charged,
143,alicii_P1_charged,
144,alixid_P1_charged,
145,alixoj_P1,4.856070041656494
146,alixup_P1_H,
147,aloles_P1_charged_H,
148,aloliy_P1_charged,
149,alukic_P1,4.809206962585449
150,alukoi_P1,4.807040214538574
151,alukuo_P1,4.802675724029541
152,alulav_P1,4.809938430786133
153,alulid_P1,4.778127193450928
154,alurab_P1_charged,
155,aluref_P1_charged,
156,alurij_P1_charged,
157,amafok_P1,
158,amafuq_P1,
159,amagax_P1,4.7231268882751465
160,amejim_P1_charged_H,
161,amiloy_P1,4.779891490936279
162,amilue_P1,
163,amimal_P1,4.786245822906494
164,amimep_P1,4.778872966766357
165,amiyig_P1_charged,
166,amizaz_P1_charged,
167,amizaz01_P1_charged,
168,amizaz02_P1_charged,
169,amizec_P1_H,
170,amobel02_P1_charged,
171,amofak_P1,
172,amogep_P1,
173,amomum_P1_charged,
174,amonat_P1_charged,
175,amoyor_P1,
176,amufiz_P1,
177,amufof_P1,
178,amupop_P1,
179,amurux02_P1_charged,
180,amurux10_P1_charged,
181,amurux11_P1_charged,
182,amuwip_P1_charged,
183,amuwub_P1,4.8061699867248535
184,amuxai_P1_charged_H,4.819159984588623
185,anakux_P1,4.743072509765625
186,anawix_P1,
187,anawod_P1,
188,anehei_P1,4.802093982696533
189,anugew_P1,
190,anugia_P1,4.83741569519043
191,anugog_P1,4.817748546600342
192,anugum_P1,
193,apayib_P1,4.77465295791626
194,apayoh_P1,4.774930953979492
195,apayun_P1,4.777433395385742
196,apazau_P1,4.771887302398682
197,apazey_P1,4.779038429260254
198,apazic_P1,4.77110481262207
199,apazoi_P1,4.768033981323242
200,apebee_P1,4.772374629974365
201,apuvis_P1,4.854085445404053
202,aqajei_P1,4.766854286193848
203,aqiroj_P1,4.84774112701416
204,aqixuv_P1_charged,
205,aqucog_P1,4.8231892585754395
206,aqucum_P1,4.820833683013916
207,aqudat_P1,
208,aqudex_P1,
209,aqudib_P1,4.821887016296387
210,aqudoh_P1,
211,aradee_P1_charged,
212,aragor_P1,
213,arajek_P1,
214,arajio_P1,4.786856651306152
215,arajou_P1,4.763862609863281
216,arakah_P1,4.7423601150512695
217,arawew_P1,4.8376145362854
218,arinul_P1_charged,
219,arofap_P1,4.789674282073975
220,arofet_P1,4.777420520782471
221,aroqab_P1_charged,4.802576541900635
222,arucib_P1,4.767910957336426
223,arucoh01_P1,4.779581069946289
224,arucun_P1,4.78147554397583
225,arudau_P1_H,4.783003330230713
226,asacon_P1,
227,asahej_P1,
228,asamue_P1_H,4.748593807220459
229,asinat_P1,
230,asinex_P1,
231,asinib_P1,
232,asoyoy_P1,4.7445173263549805
233,asubib_P1,4.794787883758545
234,asujij_P1_charged,4.796388149261475
235,asuwui_P1,4.770139694213867
236,atahua_P1,4.752810955047607
237,atajai_P1,4.751701354980469
238,atebei_P1,
239,ateyed_P1_charged_H,
240,ateyop_P1_charged,
241,ateyuv_P1_charged,
242,atezac_P1_charged,
243,atibag_P1,
244,atibou_P1,
245,atibou01_P1,
246,atibou02_P1,
247,atibua_P1,
248,aticah_P1,
249,aticel_P1,
250,atixux_P1_charged,
251,atobiw_P1,4.756312847137451
252,atoboc_P1,4.74561882019043
253,atotim_P1_H,
254,atowiq_P1,
255,atowow_P1,
256,atoxen_P1,4.792603015899658
257,aturis_P1_charged,4.796847343444824
258,atuxoe_P1_charged_H,4.766841888427734
259,atuxuk_P1_charged_H,4.742770671844482
260,atuyar_P1_charged_H,4.736936092376709
261,avajue02_P1,
262,avakal02_P1,
263,avakep02_P1,
264,avaqix_P1,4.692159652709961
265,avaqix01_P1,4.696883201599121
266,avasum_P1,4.791701793670654
267,aveham_P1,4.83675479888916
268,avelod_P1_H,4.780426025390625
269,avemaq_P1_H,4.807577610015869
270,aveqid_P1,4.797115802764893
271,averoj_P1,4.7353997230529785
272,avesol_P1,4.74247932434082
273,avihiy_P1,4.722703456878662
274,avihoe_P1,
275,avimoi_P1,4.798717975616455
276,avimuo_P1,4.812411785125732
277,avipol_P1,4.803285121917725
278,avivac_P1_charged,
279,aviveg_P1_charged,
280,avivik_P1_charged,
281,avivoq_P1_charged,
282,avivuw_P1_charged,
283,avucea_P1_H,4.837113380432129
284,avudax_P1,
285,avupir_P1_H,
286,awagov_P1_charged,
287,awakeq_P1_H,4.81295108795166
288,awasau_P1_H,4.887964248657227
289,awasey_P1_H,
290,awatav_P1,
291,awedow_P1_charged,
292,awegep_P1_H,4.763247013092041
293,awejiw_P1,4.776679039001465
294,awevij_P1_charged,
295,awexor_P1,4.750491619110107
296,awexux_P1,
297,awibal_P1,4.743569374084473
298,axaqat02_P1,
299,axicob_P1,
300,axinax01_P1,
301,axinif_P1_H,4.806380748748779
302,axipee_P1,4.842005729675293
303,axipee01_P1,4.835089206695557
304,axipee02_P1,4.840455532073975
305,axipee03_P1,4.840402603149414
306,axitor_P1,4.798595428466797
307,axohie_P1,4.75047492980957
308,axubol_P1_H,4.762518405914307
309,axukub_P1_charged,
310,axulai_P1_charged,
311,axulem_P1_charged,4.769815444946289
312,ayeqec_P1,
313,ayonot_P1,
314,ayoqem_P1,
315,ayoxuj_P1,4.811524391174316
316,ayoyeu_P1,4.807392597198486
317,ayoyiy_P1,4.78136682510376
318,ayuduv_P1,4.749856948852539
319,ayuwum_P1_charged,4.863501071929932
320,azafis_P1,4.790487766265869
321,azilec_P1,4.821235179901123
322,azivai_P1,
323,azixud_P1,4.814405918121338
324,azufeg_P1,4.8219099044799805
325,azufik_P1,
326,bacgaq_P1,4.773495197296143
327,bacmoh_P1_H,4.802183151245117
328,bacmoh10_P1,4.7928361892700195
329,bacsil_P1,4.783534049987793
330,badhia_P1,4.739885330200195
331,badhog_P1,4.743879795074463
332,badhum_P1,
333,badhum01_P1,4.770869731903076
334,badjau_P1,
335,badxuc_P1,4.788849353790283
336,badyaj_P1,4.774930477142334
337,badzak_P1_charged,
338,bafbes_P1_charged,
339,bafkur_P1,
340,bagrin_P1,4.842916965484619
341,bahciz_P1,
342,bahcof_P1_H,4.83566427230835
343,bahgun_P1,4.7607340812683105
344,bahgun01_P1,
345,bahgun02_P1,4.753881454467773
346,bahgun03_P1,4.76090145111084
347,bahgun04_P1,4.758127689361572
348,bahmaz_P1,4.774864673614502
349,bakgax_P1,4.844141960144043
350,bakjee_P1,4.821432113647461
351,bakjii_P1,4.790687084197998
352,baksis_P1,
353,baljoq_P1_charged,
354,bamkim_P1_charged,4.811398506164551
355,bamkos_P1_charged_H,4.791242599487305
356,bammou_P1_charged,
357,bammua_P1_charged,
358,bamnah_P1_charged,
359,bamnel_P1_charged,
360,banmag_P1,
361,baqmow_P1,
362,baqmuc_P1,4.809580326080322
363,barkud_P1_charged,4.798104763031006
364,barleo_P1_charged,
365,barmep_P1_charged_H,
366,barzie_P1,
367,basjub_P1,4.808973789215088
368,basmam_P1_charged,
369,basmug_P1,4.783695697784424
370,bassof_P1,4.787373065948486
371,bastia_P1,4.7688093185424805
372,batxig_P1,4.828444957733154
373,baxrey_P1_H,
374,baxsie_P1,
375,baxtus_P1,4.809455871582031
376,bayqok_P1,4.80421257019043
377,bayquq_P1,
378,bayrax_P1,4.811866283416748
379,bazbio_P1,4.821147441864014
380,bazbio01_P1,4.823958396911621
381,bazbou_P1,4.805481433868408
382,bazbou01_P1,4.821780681610107
383,bazbou02_P1,4.819511890411377
384,bazbow_P1_H,4.839046478271484
385,bazdaj_P1,4.817705154418945
386,bazfuf_P1,
387,bazfuf01_P1,
388,bazgam_P1,
389,bazgeq_P1,4.814952850341797
390,bazjet_P1,4.809451103210449
391,baztuu_P1,4.870672702789307
392,bebwox_P1,4.818353176116943
393,becjur_P1,4.825711250305176
394,beckay_P1,4.813033580780029
395,beckec_P1_H,4.83655309677124
396,becsua_P1,4.785262584686279
397,bedhoj_P1,
398,bedpae_P1,4.768121719360352
399,bedtai_P1,
400,bedtiq_P1,
401,bedwis_P1_H,
402,bedyeq_P1,
403,befjoo_P1,4.7942352294921875
404,begpub_P1,4.810504913330078
405,bejyoh_P1_charged,4.776693344116211
406,bejyun_P1_charged,4.770537376403809
407,bekqug_P1,4.770269870758057
408,beljil_P1,4.830963611602783
409,belqan_P1_H,4.806069850921631
410,beltuj_P1,4.81890869140625
411,belvar_P1_charged,4.828822612762451
412,benxoj_P1,
413,benxup_P1,
414,bepluf_P1,4.762049674987793
415,bepmam_P1,4.772515296936035
416,bepmeq_P1,4.801268100738525
417,bepmiu_P1,4.803981781005859
418,bepniv_P1_H,4.773582935333252
419,bepnob_P1_H,4.775157928466797
420,bepnuh_P1,4.798685550689697
421,beppap_P1,4.797027111053467
422,beppix_P1,4.804579257965088
423,beppod_P1_H,
424,bepvav_P1,4.8156328201293945
425,bepvez_P1,4.815888404846191
426,bepvid_P1,4.812861919403076
427,bepvoj_P1,4.803402900695801
428,bepvoj01_P1,4.807804107666016
429,bepyig_P1_H,
430,beqfek_P1,4.819183826446533
431,beqhud_P1,
432,beqjal_P1,
433,beqjoz_P1_charged,
434,beqjuf_P1_charged,
435,beqkam_P1_H,4.76931095123291
436,bergai_P1,4.797000885009766
437,bergai01_P1,4.787693500518799
438,betdel_P1,4.816075325012207
439,betdip_P1,4.814970970153809
440,betdub_P1,4.813611030578613
441,betfen_P1,4.821350574493408
442,betfud_P1,4.816518783569336
443,betgak_P1,4.812383651733398
444,bethit_P1_charged,
445,betyad_P1,
446,betyeh_P1,4.781131744384766
447,betzor_P1_H,4.793647766113281
448,bewsoo_P1,
449,bewveg_P1_charged,4.827685356140137
450,bewvoq_P1_charged_H,4.832291126251221
451,bewweh_P1,4.830691814422607
452,bexmid_P1,4.797196388244629
453,bexrut_P1,
454,bexsee_P1,
455,bexsii_P1,
456,bextop_P1,4.777721881866455
457,beysef_P1,4.84769344329834
458,bezduh_P1,
459,bibbul_P1,4.800145626068115
460,bibqov_P1,4.828449249267578
461,bibxob_P1,
462,bibxuh_P1,
463,bicpua_P1,
464,bidmae_P1_charged,4.82079553604126
465,bidpah_P1_charged,
466,bifkei_P1,4.850578308105469
467,bifnow_P1_charged_H,
468,bifpak_P1_charged_H,4.755212306976318
469,bifpoy_P1_charged_H,
470,bifsob_P1_charged,4.800031661987305
471,bigwog_P1,
472,bihbax_P1_charged,
473,bihqam_P1,
474,bihrui_P1,
475,bihvum_P1_H,
476,bijduv_P1_H,
477,bijzec_P1_charged,
478,bijzig_P1,4.862630367279053
479,bikmeq_P1_H,
480,bikmeq01_P1_H,
481,bikmoa_P1,
482,bikmug_P1,
483,bikner_P1,
484,biknob_P1_H,
485,bilria_P1,4.7441911697387695
486,bimdef_P1,
487,bimpev_P1,4.783761024475098
488,binroh_P1,4.8183722496032715
489,binrun_P1,4.791101932525635
490,binsau_P1,4.796905994415283
491,biplaq_P1_H,
492,biplix_P1_H,4.777835369110107
493,bipnas_P1_H,4.807959079742432
494,bipsuq_P1,4.846530437469482
495,bipxik_P1,4.776701927185059
496,bipxoq_P1,4.805428504943848
497,biqheq_P1,
498,biqhiu_P1,
499,biqvii_P1,
500,birbiq_P1_charged,4.812480449676514
501,birbow_P1_charged,4.811908721923828
502,birbuc_P1_charged,4.81755256652832
503,bircaj_P1_charged,4.805100440979004
504,birmum_P1,4.844825267791748
505,birnat_P1,4.787160396575928
506,birsec_P1,
507,birsig_P1,
508,birsus_P1_H,4.807600975036621
509,bisruq_P1,4.763493061065674
510,bivxek_P1,
511,biwdet_P1,4.790783882141113
512,biwsae_P1,4.886101722717285
513,biwwow_P1,4.816064357757568
514,bixviq_P1,
515,biytej_P1,4.850645065307617
516,biyvir_P1,4.802667617797852
517,biyvox_P1,4.797928333282471
518,bizhok_P1,
519,bizhuq_P1,
520,biztai_P1,
521,bobdii_P1,
522,bobhuy_P1,
523,bobjag_P1,4.795295715332031
524,bobriw_P1,4.785608768463135
525,bobtiw_P1,4.808419227600098
