Name,Volts,Product,FE,CIF,file_id
Zn-BTC,2.2,CH4 CO,80.1,http://qiserver.ugr.es/cod/2006090.cif,6c5625d17977466a870c7632d627f7dd
ZIF-8,1.8,CO,65.0,http://qiserver.ugr.es/cod/4118891.cif,9fd58779f8724e148b8fe0dd7182017c
Re-SURMOF,1.6,CO,93.0,http://qiserver.ugr.es/cod/1557774.cif,c343afd9cc4e4ed88da102090cd057af
Fe-MOF-525,1.07,CO,41.0,https://doggo.ninja/cDpoAS.cif,00f09d76adb74b2b8a818c20499718f3
Ni-containing cyclic porphyrin dimer,0.8,CO,94.0,http://qiserver.ugr.es/cod/2004280.cif,c88dfe09ca5e41fdb4e2ccca315c265a
Tris(2-benzimidazolyl-methyl)amine (NTB) ligand,0.8,CO,97.0,https://doggo.ninja/kUqH3f.cif,40a96cf89cd64c908e9ceb5126c13a7d
Al2(OH)2TCPP-Co,0.7,CO,76.0,https://doggo.ninja/N1j9t6.cif,46a4182f1d3e48278fdaad3ae69cfce3
M-PMOF,0.8,CO,98.7,https://doggo.ninja/voIIwB.cif,515966273fd940f98bdc5cb4c6a5010e
 Iron Pyridyl-Carbene,1.59,CO,92.0,http://qiserver.ugr.es/cod/4518363.cif,be5e5b997ace47b1bca589a9e4da889f
CoPP@CNT,0.49,CO,98.3,http://qiserver.ugr.es/cod/7124236.cif,dfe3152eb8a849f58d0d155e47adad9c
